Serial_Num,year,name,max_wind_kt,track,saffir
1950224N17305,1950,ABLE,110,"{""coordinates"": [[17.1, -55.5], [17.7, -56.3], [18.2, -57.4], [19.0, -58.6], [20.0, -60.0], [20.7, -61.1], [21.3, -62.2], [22.0, -63.2], [22.7, -63.8], [23.1, -64.6], [23.4, -65.4], [23.9, -66.0], [24.4, -66.2], [24.8, -66.5], [25.2, -66.8], [25.5, -67.5], [25.7, -68.1], [25.7, -68.7], [25.5, -69.3], [25.4, -69.8], [25.4, -70.6], [25.4, -71.5], [25.5, -72.6], [25.9, -73.3], [26.7, -73.9], [27.3, -74.4], [27.9, -74.9], [28.4, -75.3], [29.1, -75.5], [29.9, -75.5], [30.7, -75.5], [31.7, -75.5], [32.8, -75.2], [34.4, -74.3], [36.0, -72.7], [37.6, -71.0], [39.3, -69.4], [41.2, -67.3], [43.3, -65.0], [44.6, -63.7], [45.5, -62.6], [47.9, -59.8], [50.0, -56.8], [52.0, -53.8], [53.6, -50.7], [54.7, -47.7], [55.3, -44.8], [55.3, -41.8], [54.5, -37.7], [53.5, -33.7], [52.5, -30.3]], ""type"": ""LineString""}",3
1950243N15304,1950,DOG,125,"{""coordinates"": [[15.2, -55.6], [15.5, -56.9], [15.9, -58.1], [16.2, -59.2], [16.5, -60.1], [16.8, -60.9], [17.2, -61.7], [17.7, -62.4], [18.2, -63.1], [18.6, -63.5], [19.1, -63.9], [19.5, -64.3], [20.1, -64.7], [20.6, -64.9], [21.1, -65.0], [21.6, -65.1], [22.1, -65.2], [22.4, -65.4], [22.7, -65.7], [23.1, -66.0], [23.4, -66.4], [23.7, -66.8], [24.1, -67.3], [24.6, -67.7], [25.3, -68.2], [26.1, -68.4], [26.8, -68.4], [27.5, -68.2], [28.2, -68.1], [28.9, -68.0], [29.6, -67.9], [30.2, -67.6], [30.4, -67.4], [30.6, -67.3], [30.8, -67.4], [30.9, -67.6], [31.0, -67.9], [31.0, -68.2], [30.9, -68.5], [30.6, -68.9], [30.5, -69.3], [30.4, -70.0], [30.5, -70.6], [31.0, -71.0], [32.0, -71.5], [33.3, -72.1], [34.9, -72.2], [36.4, -71.9], [37.9, -71.4], [39.0, -70.0], [39.7, -68.4], [40.4, -66.9], [41.1, -65.7], [41.5, -64.4], [41.9, -62.7], [42.2, -60.7], [42.3, -58.3], [42.3, -55.9], [42.5, -53.2], [42.8, -50.0], [43.0, -45.5], [43.4, -41.5], [44.5, -37.5], [46.0, -33.2], [47.5, -28.5], [49.2, -23.2], [50.9, -18.6], [52.8, -14.7], [54.3, -11.6], [55.6, -9.1], [56.8, -6.6], [57.8, -4.5], [58.8, -3.8], [59.8, -3.8]], ""type"": ""LineString""}",4
1950244N20277,1950,EASY,105,"{""coordinates"": [[19.7, -83.2], [19.9, -83.2], [20.1, -83.2], [20.3, -83.2], [20.5, -83.3], [20.7, -83.3], [20.9, -83.2], [21.4, -82.7], [21.5, -82.6], [22.4, -82.4], [22.7, -82.3], [23.8, -82.3], [24.9, -82.6], [26.2, -82.8], [27.1, -83.3], [27.7, -83.5], [28.0, -83.8], [28.1, -83.7], [28.5, -83.3], [28.8, -83.0], [29.1, -82.8], [29.1, -82.8], [28.7, -82.8], [28.5, -82.7], [28.4, -82.6], [28.2, -82.1], [28.6, -81.7], [29.3, -81.6], [30.2, -81.9], [31.2, -83.0], [32.0, -84.8], [33.1, -85.9], [33.9, -87.0], [35.2, -88.3], [35.2, -88.5], [35.3, -89.3], [35.0, -89.8], [35.6, -89.9], [35.9, -90.2]], ""type"": ""LineString""}",3
1950251N16319,1950,FOX,120,"{""coordinates"": [[15.5, -41.0], [15.5, -41.8], [15.6, -42.8], [15.7, -43.8], [15.9, -44.6], [16.1, -45.3], [16.4, -46.0], [16.7, -46.7], [17.1, -47.3], [17.5, -48.0], [17.9, -48.8], [18.3, -49.6], [18.7, -50.2], [19.1, -50.7], [19.6, -51.2], [20.2, -51.8], [21.0, -52.5], [21.7, -53.4], [22.3, -54.2], [22.7, -55.0], [22.9, -55.8], [23.1, -56.5], [23.3, -57.2], [23.6, -57.8], [23.8, -58.4], [24.1, -58.9], [24.9, -59.4], [25.9, -59.7], [27.0, -59.8], [28.2, -59.7], [30.2, -59.3], [32.6, -58.2], [34.7, -56.5], [36.5, -54.5], [37.8, -52.2], [39.5, -48.5], [42.5, -43.5], [45.5, -39.5]], ""type"": ""LineString""}",4
1950285N22313,1950,JIG,100,"{""coordinates"": [[22.4, -47.0], [22.7, -48.0], [23.0, -49.0], [23.3, -50.1], [23.6, -51.2], [23.9, -52.3], [24.3, -53.4], [24.8, -54.4], [25.4, -55.5], [26.1, -56.7], [27.0, -57.7], [28.0, -58.6], [29.0, -59.4], [29.9, -60.1], [30.8, -60.3], [31.9, -60.2], [33.0, -59.7], [34.1, -58.5], [35.1, -57.4], [36.0, -56.1], [36.9, -54.6], [38.1, -52.2], [39.5, -49.2], [41.0, -46.0], [43.0, -42.8], [45.0, -39.9], [47.5, -37.5]], ""type"": ""LineString""}",3
1950286N16276,1950,KING,115,"{""coordinates"": [[16.0, -84.2], [16.0, -83.9], [16.0, -83.8], [16.0, -83.7], [16.1, -83.6], [16.2, -83.5], [16.3, -83.3], [16.6, -82.7], [16.9, -82.0], [17.2, -81.0], [17.7, -80.0], [18.4, -79.3], [18.9, -79.0], [19.3, -78.7], [20.0, -78.3], [20.9, -78.3], [21.1, -78.2], [22.2, -78.3], [23.2, -79.0], [24.0, -79.5], [24.7, -79.8], [25.7, -80.2], [25.9, -80.3], [27.1, -81.0], [28.6, -81.5], [30.0, -82.4], [31.1, -83.5], [31.7, -84.5], [32.1, -85.3], [32.5, -86.0], [32.9, -86.5]], ""type"": ""LineString""}",4
1951224N12316,1951,CHARLIE,115,"{""coordinates"": [[12.1, -44.1], [12.1, -45.3], [12.2, -46.2], [12.4, -46.9], [12.6, -47.6], [12.7, -48.4], [12.8, -49.2], [12.9, -50.0], [13.0, -50.8], [13.2, -51.6], [13.4, -52.4], [13.6, -53.6], [13.8, -55.3], [14.1, -57.1], [14.4, -58.9], [14.8, -60.7], [15.2, -62.6], [15.6, -64.6], [15.9, -66.7], [16.2, -68.6], [16.3, -70.2], [16.4, -71.7], [16.6, -73.1], [17.1, -74.6], [17.6, -76.2], [17.9, -76.9], [18.1, -77.8], [18.3, -79.4], [18.6, -80.9], [18.9, -82.2], [19.2, -83.4], [19.4, -84.5], [19.8, -85.6], [20.2, -86.7], [20.3, -87.0], [20.4, -87.3], [20.6, -87.9], [21.0, -89.2], [21.4, -90.4], [21.6, -91.6], [21.6, -92.7], [21.6, -93.7], [21.6, -94.3], [21.7, -94.9], [21.9, -95.7], [22.1, -96.6], [22.2, -97.5], [22.3, -97.8], [22.3, -98.2], [22.4, -98.8], [22.4, -99.4], [22.4, -99.9]], ""type"": ""LineString""}",4
1951244N13328,1951,EASY,130,"{""coordinates"": [[12.5, -32.0], [13.2, -33.3], [14.0, -34.5], [14.6, -35.5], [14.8, -36.4], [15.0, -37.4], [15.3, -38.6], [15.7, -40.2], [16.1, -41.8], [16.4, -43.3], [16.6, -44.5], [16.7, -45.7], [16.9, -46.9], [17.2, -48.2], [17.8, -49.7], [18.7, -51.3], [19.7, -52.9], [20.6, -54.4], [21.2, -55.9], [21.5, -57.4], [21.9, -59.1], [22.3, -60.6], [22.6, -61.9], [23.0, -63.2], [23.6, -64.6], [24.5, -66.0], [25.4, -66.9], [26.2, -67.5], [27.1, -67.6], [27.9, -67.4], [28.6, -67.1], [29.4, -66.4], [29.9, -65.5], [30.5, -64.3], [31.6, -62.6], [33.0, -61.1], [34.2, -59.7], [35.4, -58.1], [36.7, -56.7], [37.9, -55.5], [39.0, -54.1], [39.5, -52.6], [39.5, -51.2], [39.5, -49.9], [39.5, -48.6], [39.5, -47.0], [39.5, -45.5], [39.7, -44.0], [40.7, -41.5], [41.9, -39.3], [43.2, -37.0], [44.2, -32.2], [45.2, -28.0], [46.3, -22.5], [47.5, -17.1]], ""type"": ""LineString""}",4
1951246N13340,1951,FOX,100,"{""coordinates"": [[12.6, -20.3], [12.7, -21.8], [12.8, -23.3], [13.0, -24.7], [13.2, -26.0], [13.4, -27.3], [13.6, -29.0], [14.2, -31.0], [14.9, -32.8], [15.6, -34.5], [16.3, -36.2], [16.8, -37.8], [17.3, -39.3], [17.8, -40.7], [18.3, -42.1], [18.9, -43.7], [19.6, -45.6], [20.3, -47.3], [21.1, -49.0], [22.0, -50.7], [23.1, -52.4], [24.3, -53.8], [25.5, -55.2], [27.2, -56.6], [29.6, -57.9], [32.2, -58.7], [35.1, -59.1], [37.8, -58.2], [40.3, -54.6], [42.3, -50.5], [44.5, -43.9], [47.2, -36.8], [50.0, -29.8], [53.5, -24.0], [57.5, -21.2]], ""type"": ""LineString""}",3
1952268N20291,1952,CHARLIE,105,"{""coordinates"": [[20.0, -69.2], [20.8, -70.0], [21.7, -70.8], [22.7, -71.7], [23.5, -72.8], [24.5, -73.4], [25.5, -74.0], [26.5, -74.6], [27.2, -74.9], [27.9, -74.8], [29.0, -74.3], [30.3, -73.1], [31.5, -71.6], [32.5, -70.2], [33.8, -68.6], [35.1, -65.9], [36.7, -63.0], [38.4, -60.8], [39.5, -58.7], [39.9, -57.1], [40.3, -55.5], [40.6, -54.1], [40.6, -52.9], [40.4, -51.5], [39.9, -50.1], [39.7, -48.6], [39.5, -47.2], [39.5, -46.0], [40.0, -44.7]], ""type"": ""LineString""}",3
